aldfly,Empidonax alnorum_Alder Flycatcher
ameavo,Recurvirostra americana_American Avocet
amebit,Botaurus lentiginosus_American Bittern
amecro,Corvus brachyrhynchos_American Crow
amegfi,Spinus tristis_American Goldfinch
amekes,Falco sparverius_American Kestrel
amepip,Anthus rubescens_American Pipit
amered,Setophaga ruticilla_American Redstart
amerob,Turdus migratorius_American Robin
amewig,Mareca americana_American Wigeon
amewoo,Scolopax minor_American Woodcock
amtspa,Spizelloides arborea_American Tree Sparrow
annhum,Calypte anna_Anna's Hummingbird
astfly,Myiarchus cinerascens_Ash-throated Flycatcher
baisan,Calidris bairdii_Baird's Sandpiper
baleag,Haliaeetus leucocephalus_Bald Eagle
balori,Icterus galbula_Baltimore Oriole
banswa,Riparia riparia_Bank Swallow
barswa,Hirundo rustica_Barn Swallow
bawwar,Mniotilta varia_Black-and-white Warbler
belkin1,Megaceryle alcyon_Belted Kingfisher
belspa2,Artemisiospiza belli_Bell's Sparrow
bewwre,Thryomanes bewickii_Bewick's Wren
bkbcuc,Coccyzus erythropthalmus_Black-billed Cuckoo
bkbmag1,Pica hudsonia_Black-billed Magpie
bkbwar,Setophaga fusca_Blackburnian Warbler
bkcchi,Poecile atricapillus_Black-capped Chickadee
bkchum,Archilochus alexandri_Black-chinned Hummingbird
bkhgro,Pheucticus melanocephalus_Black-headed Grosbeak
bkpwar,Setophaga striata_Blackpoll Warbler
bktspa,Amphispiza bilineata_Black-throated Sparrow
blkpho,Sayornis nigricans_Black Phoebe
blugrb1,Passerina caerulea_Blue Grosbeak
blujay,Cyanocitta cristata_Blue Jay
bnhcow,Molothrus ater_Brown-headed Cowbird
boboli,Dolichonyx oryzivorus_Bobolink
bongul,Chroicocephalus philadelphia_Bonaparte's Gull
brdowl,Strix varia_Barred Owl
brebla,Euphagus cyanocephalus_Brewer's Blackbird
brespa,Spizella breweri_Brewer's Sparrow
brncre,Certhia americana_Brown Creeper
brnthr,Toxostoma rufum_Brown Thrasher
brthum,Selasphorus platycercus_Broad-tailed Hummingbird
brwhaw,Buteo platypterus_Broad-winged Hawk
btbwar,Setophaga caerulescens_Black-throated Blue Warbler
btnwar,Setophaga virens_Black-throated Green Warbler
btywar,Setophaga nigrescens_Black-throated Gray Warbler
buffle,Bucephala albeola_Bufflehead
buggna,Polioptila caerulea_Blue-gray Gnatcatcher
buhvir,Vireo solitarius_Blue-headed Vireo
bulori,Icterus bullockii_Bullock's Oriole
bushti,Psaltriparus minimus_Bushtit
buwtea,Spatula discors_Blue-winged Teal
buwwar,Vermivora cyanoptera_Blue-winged Warbler
cacwre,Campylorhynchus brunneicapillus_Cactus Wren
calgul,Larus californicus_California Gull
calqua,Callipepla californica_California Quail
camwar,Setophaga tigrina_Cape May Warbler
cangoo,Branta canadensis_Canada Goose
canwar,Cardellina canadensis_Canada Warbler
canwre,Catherpes mexicanus_Canyon Wren
carwre,Thryothorus ludovicianus_Carolina Wren
casfin,Haemorhous cassinii_Cassin's Finch
caster1,Hydroprogne caspia_Caspian Tern
casvir,Vireo cassinii_Cassin's Vireo
cedwax,Bombycilla cedrorum_Cedar Waxwing
chispa,Spizella passerina_Chipping Sparrow
chiswi,Chaetura pelagica_Chimney Swift
chswar,Setophaga pensylvanica_Chestnut-sided Warbler
chukar,Alectoris chukar_Chukar
clanut,Nucifraga columbiana_Clark's Nutcracker
cliswa,Petrochelidon pyrrhonota_Cliff Swallow
comgol,Bucephala clangula_Common Goldeneye
comgra,Quiscalus quiscula_Common Grackle
comloo,Gavia immer_Common Loon
commer,Mergus merganser_Common Merganser
comnig,Chordeiles minor_Common Nighthawk
comrav,Corvus corax_Common Raven
comred,Acanthis flammea_Common Redpoll
comter,Sterna hirundo_Common Tern
comyel,Geothlypis trichas_Common Yellowthroat
coohaw,Accipiter cooperii_Cooper's Hawk
coshum,Calypte costae_Costa's Hummingbird
cowscj1,Aphelocoma californica_California Scrub-Jay
daejun,Junco hyemalis_Dark-eyed Junco
doccor,Phalacrocorax auritus_Double-crested Cormorant
dowwoo,Dryobates pubescens_Downy Woodpecker
dusfly,Empidonax oberholseri_Dusky Flycatcher
eargre,Podiceps nigricollis_Eared Grebe
easblu,Sialia sialis_Eastern Bluebird
easkin,Tyrannus tyrannus_Eastern Kingbird
easmea,Sturnella magna_Eastern Meadowlark
easpho,Sayornis phoebe_Eastern Phoebe
eastow,Pipilo erythrophthalmus_Eastern Towhee
eawpew,Contopus virens_Eastern Wood-Pewee
eucdov,Streptopelia decaocto_Eurasian Collared-Dove
eursta,Sturnus vulgaris_European Starling
evegro,Coccothraustes vespertinus_Evening Grosbeak
fiespa,Spizella pusilla_Field Sparrow
fiscro,Corvus ossifragus_Fish Crow
foxspa,Passerella iliaca_Fox Sparrow
gadwal,Mareca strepera_Gadwall
gcrfin,Leucosticte tephrocotis_Gray-crowned Rosy-Finch
gnttow,Pipilo chlorurus_Green-tailed Towhee
gnwtea,Anas crecca_Green-winged Teal
gockin,Regulus satrapa_Golden-crowned Kinglet
gocspa,Zonotrichia atricapilla_Golden-crowned Sparrow
goleag,Aquila chrysaetos_Golden Eagle
grbher3,Ardea herodias_Great Blue Heron
grcfly,Myiarchus crinitus_Great Crested Flycatcher
greegr,Ardea alba_Great Egret
greroa,Geococcyx californianus_Greater Roadrunner
greyel,Tringa melanoleuca_Greater Yellowlegs
grhowl,Bubo virginianus_Great Horned Owl
grnher,Butorides virescens_Green Heron
grtgra,Quiscalus mexicanus_Great-tailed Grackle
grycat,Dumetella carolinensis_Gray Catbird
gryfly,Empidonax wrightii_Gray Flycatcher
haiwoo,Dryobates villosus_Hairy Woodpecker
hamfly,Empidonax hammondii_Hammond's Flycatcher
hergul,Larus argentatus_Herring Gull
herthr,Catharus guttatus_Hermit Thrush
hoomer,Lophodytes cucullatus_Hooded Merganser
hoowar,Setophaga citrina_Hooded Warbler
horgre,Podiceps auritus_Horned Grebe
horlar,Eremophila alpestris_Horned Lark
houfin,Haemorhous mexicanus_House Finch
houspa,Passer domesticus_House Sparrow
houwre,Troglodytes aedon_House Wren
indbun,Passerina cyanea_Indigo Bunting
juntit1,Baeolophus ridgwayi_Juniper Titmouse
killde,Charadrius vociferus_Killdeer
labwoo,Dryobates scalaris_Ladder-backed Woodpecker
larspa,Chondestes grammacus_Lark Sparrow
lazbun,Passerina amoena_Lazuli Bunting
leabit,Ixobrychus exilis_Least Bittern
leafly,Empidonax minimus_Least Flycatcher
leasan,Calidris minutilla_Least Sandpiper
lecthr,Toxostoma lecontei_LeConte's Thrasher
lesgol,Spinus psaltria_Lesser Goldfinch
lesnig,Chordeiles acutipennis_Lesser Nighthawk
lesyel,Tringa flavipes_Lesser Yellowlegs
lewwoo,Melanerpes lewis_Lewis's Woodpecker
linspa,Melospiza lincolnii_Lincoln's Sparrow
lobcur,Numenius americanus_Long-billed Curlew
lobdow,Limnodromus scolopaceus_Long-billed Dowitcher
logshr,Lanius ludovicianus_Loggerhead Shrike
lotduc,Clangula hyemalis_Long-tailed Duck
louwat,Parkesia motacilla_Louisiana Waterthrush
macwar,Geothlypis tolmiei_MacGillivray's Warbler
magwar,Setophaga magnolia_Magnolia Warbler
mallar3,Anas platyrhynchos_Mallard
marwre,Cistothorus palustris_Marsh Wren
